,horario,local,texto,relevancia
51,2020-08-22 18:12:32,Belém,Essa chuva veio só me iludir...,0
52,2020-08-22 18:12:01,"Belém, Brasil",tem uma galerinha que hoje diz ser chato criticar quem pede chuva mas na época que parasita tava no auge falaram várias vezes que quem pede/gosta de chuva não pensava no próximo e todas outras baboseiras que militante de twitter fala https://t.co/ub5GUZ9Sld,0
53,2020-08-22 18:11:13,"Belém, Brasil",é um chove e n chove nessa porra,0
54,2020-08-22 18:10:05,"Belém, Brasil","E essa chuva que tá ensaiando e não cai?
Bora mana. Quer dancinha pra incentivar?",0
55,2020-08-22 18:09:23,"Pará, Brasil",Exatos 1:30 um minuto e trinta segundos de chuva na cidade modelo... esse é o Twitter. Boa noite!,0
56,2020-08-22 18:09:22,Belém,Só migué essa chuva mas pelo menos ficou friozinho o que já ótimo,0
57,2020-08-22 18:05:07,"Belém, Brasil",meu deus finalmente chuva em belém depois de mil anos sem,1
58,2020-08-22 18:03:45,"Belém, Brasil",@HeyRaissa A chuva kkkkkkk todo mundo na expectativa 🙏🏾,1
59,2020-08-22 18:03:41,"Belém, Brasil",ta um clima de chuva e eu tô aqui toda empacotada e com preguiça de trabalhar,0
60,2020-08-22 18:03:17,"Belém, Brasil",o cheirinho de chuva deus obrigado por tudo,1
61,2020-08-22 18:01:33,"Belém, Brasil",MEU DEUS CHUVA CHUVA ATENÇÃO CHUVAAAA,1
62,2020-08-22 18:00:09,"Pará, Brasil",porta chuva desgraçada eu só queria sair,1
63,2020-08-22 17:58:00,"Belém, Pará, Brasil","Apesar dos esforços do meu pato em chamar chuva, aparentemente ela não vem :( https://t.co/DLcgWyllGt",0
64,2020-08-22 17:57:43,"Belém, Pará, Brasil",@camomilagaia TRINTA DIAS. Imagina uma Belém que está há trinta dias sem chuva,0
65,2020-08-22 17:54:48,"Belém, Brasil","Eu tô lavando roupa à prestação pq não chove direito há dias então pra ligar a bomba é um parto porque tem pouca água no poço 😭

Sério, eu tô lavando todas as minhas roupas na mão pq até pra ligar a máquina tá um saco",0
66,2020-08-22 17:53:28,Pará,Saí de casa pra dar uma volta de bike e tô ilhada aqui na imimi por causa da chuva kkkk,1
67,2020-08-22 17:52:34,"Belém, Pará, Brasil","Eu tô sentindo que agora sim vem ela
A chuva",0
68,2020-08-22 17:51:49,"Belém, Brasil","@caiocezar420 Nesse período de pouca chuva, a tendência é ficar assim..",0
69,2020-08-22 17:51:15,"Belém, Brasil",Parece que vem uma chuva aí,0
70,2020-08-22 17:50:57,belém,"parece que hoje, sem falta, a chuva vem a belém do pará",0
71,2020-08-22 17:50:27,Castanhal/Belém-PA,mds que chuva boa,1
72,2020-08-22 17:49:08,"Belém, Brasil","Essa chuva tá enrolando de cair desde ontem aqui em Belém
Acho que agora vai",0
73,2020-08-22 17:47:27,,RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
74,2020-08-22 17:47:12,"Belém, Pará, Brasil","Chuva formada no céu, já estou aqui no quintal pedindo igual a lady gaga pra rain em mim",0
75,2020-08-22 17:45:52,"Belém, Brasil","Começando os sintomas de chuva, pra mostrar que os humilhados foram exaltados",0
76,2020-08-22 17:45:51,"Belém, Brasil",peguei essa chuva todinha que está caindo e QUE NEGÓCIO BOM VIU,1
77,2020-08-22 17:45:30,"Belém, Brasil","@barachoadriano Aqui em Ananindeua depois de mais de duas semanas sem uma gota de chuva , finalmente ela está de volta 🌧🌧",1
78,2020-08-22 17:45:10,belém,"ja pensou se a quarentena acaba quando começar a época de frio
eu ia querer sair mas a chuva ia empatar o role",0
79,2020-08-22 17:42:26,"Belém, Brasil",Será que a chuva vem?,0
80,2020-08-22 17:42:19,"Belém, Brasil",Rapaz que chuva foi essa. Voou até minhas cuecas que tavam no varal.,1
81,2020-08-22 17:42:14,,RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
82,2020-08-22 17:40:07,"Belém, Brasil",Chuva.,1
83,2020-08-22 17:39:44,"Pará, Brasil",Uma chuva maravilhosa dessa eu nem ouso reclamar.,1
84,2020-08-22 17:39:22,belem,mds o céu tá com cara de que vai chove... senhor se for da tua vontade senhor já sabe,0
85,2020-08-22 17:38:23,"Belém, Brasil",Aqui pensando nessa chuva que vai cair lek,0
86,2020-08-22 17:38:19,Belém,Será que vai ter o evento chuva? https://t.co/CPQw8x028t,0
87,2020-08-22 17:38:13,"Belém, Brasil","Chuva em vigiaaaa, que milagre",1
88,2020-08-22 17:36:50,Belém,tô me cagando de medo pq tá formando MUITA chuva pra cá e faz tanto tempo q eu n vejo um toró,0
89,2020-08-22 17:33:14,Belém,"Vento gelado de chuva,não  me ilude não manobque chuviscou por 15 segundos hj de tarde",0
90,2020-08-22 17:31:53,Brasil ,RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
91,2020-08-22 17:30:12,"Belém, Brasil",se essa chuva vier aí mesmo eu durmo agora e vou até amanhã se Deus quiser,0
92,2020-08-22 17:25:14,Belém do Pará ,"2° dia seguido que chove aqui

finalmente o mundo tá voltando ao eixo",1
93,2020-08-22 17:22:42,Belém - Pa,Tô indo aqui Ananindeua na casa da mamãe tomar um café e pegar uma chuva já que em Belém não chove,0
94,2020-08-22 17:22:28,Ananindeua,lá vem a chuva cuns caralho de novo.,1
95,2020-08-22 17:18:42,"Ananindeua, Brasil ","Tudo p gente essa chuva, amo",1
96,2020-08-22 17:17:07,"Pará, Brasil","Eu quase nunca venho no Novo Horizonte aí quando eu venho, chove -.-",1
97,2020-08-22 17:14:09,"Pará, Brasil",a chuva que todo mundo pediu,1
98,2020-08-22 17:13:02,Belém do Pará,"chove um pouquinho, Belém
uma chuva de uma hora tá ótimo pra mim",1
99,2020-08-22 17:11:47,"Pará, Brasil","Essa chuva tá pior que homem, só ilude 🥵",0
