,horario,local,texto,relevancia
12,2020-08-22 18:25:06,,"RT @guilboso: Sério mesmo, não tem como não amar esse bebê
Olha esses olhos, esse nariz
Esses cabelinhos, o jeitinho dele de segurar o guar…",0
13,2020-08-22 18:02:03,Manaus-AM,"Frente fria traz chuva e transtornos à cidade do Rio de Janeiro https://t.co/NhKm6Z3Nf3
#D24AM #InteragindoComANotícia #Credibilidade #Compartilhe",1
14,2020-08-22 18:02:02,"Manaus, Amazonas","Frente fria traz chuva e transtornos à cidade do Rio de Janeiro https://t.co/eapLMQNZmF
#D24AM #InteragindoComANotícia #Credibilidade #Compartilhe",0
15,2020-08-22 17:38:29,MAO,ai namoral a pessoa tem que ter uma vida mto cheia de privilégios pra gostar de dias de mto frio e mta chuva,0
16,2020-08-22 17:16:22,"Manaus, Brasil","uma vez eu pedi lanche e começou uma chuva forte pra caralho o motoqueiro chegou todo ensopado eu me senti uma pessoa HORRÍVEL, nunca mais https://t.co/XNe9FOZ01o",0
17,2020-08-22 16:59:54,me dê um livro como presente,RT @roberlito_: @gabrielthomarx Virou pecado gostar de chuva desde o filme Parasita ;-;,0
18,2020-08-22 16:33:33,"Manaus, Brasil",As pessoas com raiva do frio e da chuva só mostra o quanto liberal é uma raça patética.,0
19,2020-08-22 16:31:40,"Manaus, Brasil",@gabrielthomarx Virou pecado gostar de chuva desde o filme Parasita ;-;,0
20,2020-08-22 15:48:51,"Manaus, Brasil",Sei nem mais o que é chuva 😕 https://t.co/jrynwrOuxk,0
21,2020-08-22 15:47:43,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
22,2020-08-22 15:23:09,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
23,2020-08-22 15:05:23,manaus,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
24,2020-08-22 14:50:31,,RT @vitrrhugo: quando chove em manaus https://t.co/iv3lHxrnSn,0
25,2020-08-22 14:38:33,Manaus,sim. É só ninguém falar mais que gosta de frio ou chuva que nunca mais neva ou chove. é assim que funciona. tenha empatinha!!,0
26,2020-08-22 14:34:41,Manaus/Am,"@MarcoPoli Cada região com seu clima, aq por exemplo, chove mais no ""verão amazônico"" do que no inverno... E a temperatura mais baixa q chega aq é 20°...",0
27,2020-08-22 14:13:59,"Manaus, Brasil",eu sonhei com chuva ou realmente choveu?,0
28,2020-08-22 14:07:58,,"RT @MichelePascoa: Mais de 12 anos morando em Manaus, pra sair na rua ""gritando"" de felicidade por causa de 24°c (sem chuva) hahahaha. Espe…",0
29,2020-08-22 13:59:48,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
30,2020-08-22 13:51:09,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
31,2020-08-22 13:21:53,,RT @vitrrhugo: quando chove em manaus https://t.co/iv3lHxrnSn,0
32,2020-08-22 13:21:38,Brasil,RT @eimasoqehisso: POR FAVOR CHOVE COM GRANIZO NESSA PORRA PRA CAUR UMA PEDRA DE GELO NA MINHA CABEÇA E EU MORRER,1
33,2020-08-22 13:09:34,"Manaus, Brasil",RT @anticristah: A PREVISÃO DO TEMPO DIZ Q O CÉU FECHOOOOU O PODER NA VITÓRIA VAI CURAR A DOR O TEMPORAL AGORA VAI CAIR EM MIM A CHUVA DA V…,0
34,2020-08-22 12:43:33,"Manaus, Brasil",quando chove em manaus https://t.co/iv3lHxrnSn,1
35,2020-08-22 12:43:11,,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",1
36,2020-08-22 12:42:09,"Manaus, Brasil","@gaygoss Sim, vento em Manaus = Chuva

Mas hj é exceção",1
37,2020-08-22 12:31:13,"Manaus, Brazil",@oadinho chuva de grillz,0
38,2020-08-22 12:27:36,"Manaus, Brasil",@gotbusted_ querer chuva mas lembrar de Parasita,1
39,2020-08-22 12:13:31,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
40,2020-08-22 12:05:39,Manaus,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
41,2020-08-22 12:05:14,"Manaus, Brasil",@oklin___ Chuva mais Miguelenta que tu,1
42,2020-08-22 12:04:30,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",1
43,2020-08-22 11:46:39,"Manaus, Brasil","é quente o ano todo, chega na época q é pra ser frio aí chove e sobe um vapor q só esquenta mais, aí quando faz frio um diazinho a pessoa ""pronto vcs tão feliz?""  SIM EU TO FELIZ SIM, EU TO PULANDO DE ALEGRIA, ABRAÇA O CAPETA ENTÃO SE GOSTA TANTO DE CALOR",1
44,2020-08-22 11:46:01,"Belo Horizonte, Brasil","RT @MangabeiraSonia: Sol ou chuva?
LUCASVIANA  TE AMAMOS",0
45,2020-08-22 11:45:58,"Manaus, Brazil","@feilenberger182 Aqui só faz frio quando chove umas 12h seguidas no inverno, ou quando rola o milagre de uma frente fria chegar aqui",0
46,2020-08-22 11:44:18,"salvador/na, Brasil ","RT @MangabeiraSonia: Sol ou chuva?
LUCASVIANA  TE AMAMOS",1
47,2020-08-22 11:41:10,"Manaus, Brasil","@_marigomess_ @najadorbd É frio não é meme não kkk, essa semana tava com sensação térmica de 40 º de repente da 22⁰ sem chuva é como se tivéssemos entrado numa realidade paralela do Frozen.",1
48,2020-08-22 11:40:17,"Manaus, Brasil",@sinaurinha Também tu já viu chuva derrubar urubu?,1
49,2020-08-22 11:33:36,"Manaus, Brasil",RT @eimasoqehisso: POR FAVOR CHOVE COM GRANIZO NESSA PORRA PRA CAUR UMA PEDRA DE GELO NA MINHA CABEÇA E EU MORRER,0
50,2020-08-22 11:32:15,paraná//manaus,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",1
51,2020-08-22 11:30:55,,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
52,2020-08-22 11:29:41,"Manaus, Brasil","O dia hj se definiu em suspense, chove ou não chove?",0
53,2020-08-22 11:18:26,Manaus,"Hoje não chove nem com o caralho, como diz o manauara https://t.co/kFwry7kLcz",1
54,2020-08-22 11:14:02,"Manaus, Amazonas",Quando deu aquela chuva com ventos de 80km por hora aqui e o andar acima da biblioteca do IFAM desabou e ainda caiu uma árvore gigante. Tudo ficou um caos em Manaus city https://t.co/PMyPP4nnJk,0
55,2020-08-22 11:07:17,mao,RT @biancacamurcaa: fazendo tempo de chuva desde 18:30 em manaus e eu to só esse coment https://t.co/EKLrU0tcXZ,1
56,2020-08-22 10:54:38,"Manaus, Brasil",@eumilena3m Mana o dia mais fresco sem chuva,1
57,2020-08-22 10:52:07,"Manaus, Brasil","O sonho de todo manauara é um frio sem chuva, manaus sua linda obg nunca critiquei ❤️",0
58,2020-08-22 10:48:14,Manaus,chove bem quando lavo o tênis e deixo ele secando lá fora,0
59,2020-08-22 10:39:46,"Manaus, Amazonas","A gente tava sofrendo com calor de 40, caiu para 23 mas sempre tem um espirito ruim aqui falando: Ai mas nem tá frio, 23 é tranquilo. VASECATAR. 23 graus para gente q nem quando chove fica assim, é frio tá? Nos deixe usar casaco em paz. u.u",1
60,2020-08-22 10:33:52,"Manaus, Brazil","Mais de 12 anos morando em Manaus, pra sair na rua ""gritando"" de felicidade por causa de 24°c (sem chuva) hahahaha. Espero que o dono da cidade (sol) não apareça meio dia pra acabar com a festa.
.
Que alegria! 😂",0
61,2020-08-22 10:17:07,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
62,2020-08-22 10:16:59,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",1
63,2020-08-22 10:10:01,,RT @anticristah: A PREVISÃO DO TEMPO DIZ Q O CÉU FECHOOOOU O PODER NA VITÓRIA VAI CURAR A DOR O TEMPORAL AGORA VAI CAIR EM MIM A CHUVA DA V…,0
64,2020-08-22 09:59:00,"Manaus, Brazil",esperando o neymar jogar de novo pra chuva cair 🙏🏽,0
65,2020-08-22 09:52:19,Manaus - AM,"Os humilhados foram exaltados e a frente fria chegou em Manaus ou é vento de chuva? 

Toda hora eu acho que é vendo de chuva",1
66,2020-08-22 09:15:12,"Manaus, Brasil",POR FAVOR CHOVE COM GRANIZO NESSA PORRA PRA CAUR UMA PEDRA DE GELO NA MINHA CABEÇA E EU MORRER,1
67,2020-08-22 09:14:13,"Manaus, Brasil","RT @ttdaandriia: chove logo crlh, deixa de fuleragem 
Odeio suspense.",0
68,2020-08-22 09:09:36,"Manaus, Brasil","Ainda tá fresquinho, mas acho que vem chuva https://t.co/zKK35RTAqH",1
69,2020-08-22 09:09:10,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
70,2020-08-22 09:05:52,"Manaus, Brasil",Tá frio 24⁰ em Manaus sem chuva 😲.,0
71,2020-08-22 08:52:41,Manaus - Amazonas,"Após expectativa pelo frio, Manaus amanhace com chuva neste sábado  https://t.co/CtVpBKXU7l https://t.co/NNDhlgI1dY",0
72,2020-08-22 08:44:56,"Manaus, Brasil",@freitas_f4 @portaldoholanda Mas o frio aqui é chuva dear,0
73,2020-08-22 08:43:29,Manaus/AM,"@JefersonCoronel Mano, então a única estação climáticas e o verão mesmo. Nunca venta na minha cidade a não ser que seja prenúncio de chuva. 🤣",0
74,2020-08-22 08:40:07,"Manaus, Brasil","Toda vez que a chuva cair, pense em mim",0
75,2020-08-22 08:36:00,"Manaus, Brazil","po, não é por nd não MAS Q FRIO DO CARALHO, tmnc, 20° morrendo, e nem tá com cara de chuva, oq tá pegando com manaus vei",0
76,2020-08-22 08:32:59,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
77,2020-08-22 08:18:35,"Manaus, Brasil",RT @biancacamurcaa: fazendo tempo de chuva desde 18:30 em manaus e eu to só esse coment https://t.co/EKLrU0tcXZ,0
78,2020-08-22 08:14:23,"Manaus, Brasil","@Linnda_Menezes Aqui no meu só tá frio msm,tá ótimo sem chuva",0
79,2020-08-22 08:11:22,"Manaus, Brasil",fiquei tão emocionada com a chuva que até acordei pra presenciar esse evento,0
80,2020-08-22 08:08:08,"Manaus, Amazonas, Brasil",Parasita acabou com a minha animação quando vejo chuva. Não consigo mais curtir do mesmo jeito.,0
81,2020-08-22 07:56:55,"Gama, Brasília","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
82,2020-08-22 07:41:45,"Manaus, Brasil","@vivasarafa Tu ia amar Manaus Rafita, é quente até quando chove, caí uns pedaços de fogo. E da hora",0
83,2020-08-22 07:39:46,"Manaus, Brasil",então quer dizer que a frente fria era essa chuva de 5 minutos?,0
84,2020-08-22 07:37:04,Manaus,Vento frio a noite toda e 0 chuvas? I'll take it,0
85,2020-08-22 07:36:29,Comunidade Bahá'í de Manaus,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
86,2020-08-22 07:34:24,"Manaus, Brasil","Aí Manaus a friagem da gente chegou as 6:32 depois de uma chuva fazendo 23°, beleza?",1
87,2020-08-22 07:33:54,Manaus,"Amanheceu frio e com o tempo fechado. Senhor, se for chuva o teu filho está pronto! 😂",1
88,2020-08-22 07:29:36,,"RT @ttdadreza: 24° e chuva, era pra eu estar na minha cama krl",1
89,2020-08-22 07:27:50,hell,"24° e chuva, era pra eu estar na minha cama krl",0
90,2020-08-22 07:27:50,"Manaus, Brasil",Chuva!,0
91,2020-08-22 07:25:33,Manaus,"Que misérinha de chuva foi essa Manaus ? 
💧💧💧
Enfim, a hipocrisia...",1
92,2020-08-22 07:23:32,"Rio Grande do Sul, Brazil",RT @12hr50: toda castigo pra corno é pocuo msm n tem castigo pior do que acordar cedo no sábado com barulho de chuva porra 😩,1
93,2020-08-22 07:23:26,"Manaus, Brasil",toda castigo pra corno é pocuo msm n tem castigo pior do que acordar cedo no sábado com barulho de chuva porra 😩,1
94,2020-08-22 07:22:07,manaus ,MUITA chuva,0
95,2020-08-22 07:19:54,"Manaus, Brasil",Chuva de manhãzinha,0
96,2020-08-22 07:16:20,"Manaus, Brasil",Planejei a semana toda que faria uma foto hoje numa parede que bate a luz do sol bem bonita e o dia me amanhece com chuva 😤😤😤,0
97,2020-08-22 07:15:25,Manaus,A chuva manoooo até quefim,0
98,2020-08-22 07:02:12,"Manaus, Brasil","Bom dia, finalmente Manaus não acordou com o bafo do satanas no cangote. Clima de chuva pa nós",0
99,2020-08-22 07:00:00,"Manaus, Brasil",RT @anticristah: A PREVISÃO DO TEMPO DIZ Q O CÉU FECHOOOOU O PODER NA VITÓRIA VAI CURAR A DOR O TEMPORAL AGORA VAI CAIR EM MIM A CHUVA DA V…,0
