,horario,local,texto,relevancia
35,2020-08-21 10:04:16,"Cuiabá, Brasil","@milicianaaa Parabens mili pela conquista de mais uma primavera, que o jardim de sua vida tenha as flores de mais variadas cores e aromas e que o Papai do Céu regue sua vida com chuvas de bênçãos!!!",0
36,2020-08-21 09:46:56,"Cuiabá, Brasil","espero que pelo menos com esse clima e um pouco de chuva ajude no combate à incêndio do pantanal
amém",0
37,2020-08-21 09:40:49,"Cuiabá, Brasil","RT @viniciusscallop: Ninguém pediu frio mano, eu queria CHUVA",0
38,2020-08-21 09:23:06,"Cuiabá, Brasil",@ULISSOSi se chover eu tomo banho de chuva,0
39,2020-08-21 09:09:21,Cuiabá,"Ninguém pediu frio mano, eu queria CHUVA",0
40,2020-08-21 08:49:19,cuiabá,podia vir uma chuva junto com o frio ne,0
41,2020-08-21 08:17:30,Cuiabá-MT,RT @jotajean4: @WALDINEY3625 @Almeida_305 Essa parada de lavar o carro para chover e tipo a dança da chuva https://t.co/DIDfzInXJ6,0
42,2020-08-21 08:13:28,"Cuiabá, Brasil",@DoloresPlainLo Chuva ácida ainda,0
43,2020-08-21 08:09:41,Cuiabá MT,Temperatura despenca em Cuiabá e chuva dá um alívio a secura. https://t.co/I8gwn1NIr3,0
44,2020-08-21 07:11:41,"Cuiabá, Brazil","Objetivo de Cuiabá é matar os cuiabanos, num dia um sol escaldante no outro essa friagem com ventos e chuva",1
45,2020-08-21 06:41:31,"Cuiabá, Brasil","Botei a cara lá fora e não rolar não, até chuva tá tendo. Acho q vamos de uns abdominal cagado em casa mesmo e protegido dos perigos mundanos desse frio",1
46,2020-08-21 06:39:08,"Cuiabá, Brasil","Maior queimada aqui em Cuiabá-MT, aí o cuiabno pensa: vou lavar o carro né, vai que Deus olha o carro limpinho e resolve mandar uma chuva só para me contrariar e de quebra ajuda a amenizar as queimadas. 

quando eu lavo o carro é tipo índio fazendo a dança da chuva kkkkkkkkkk https://t.co/MtfyXR3USv https://t.co/ARHXXIBcWp",0
47,2020-08-21 06:37:10,"Cuiabá, Brasil",@WALDINEY3625 @Almeida_305 Essa parada de lavar o carro para chover e tipo a dança da chuva https://t.co/DIDfzInXJ6,0
48,2020-08-21 05:00:32,"Cuiabá, Brasil",OBG SENHOR PELA CHUVA https://t.co/A1luAarv1Y,1
49,2020-08-21 04:34:16,Cuiabá,"Mistura de frio, chuva e fumaça",1
50,2020-08-21 03:27:06,"Cuiabá, Brasil",Obrigado deus pela chuva de Chernobyl,1
51,2020-08-21 03:26:04,"Cuiabá, Brasil","Gente, só eu vi a chuva??",1
52,2020-08-21 03:17:32,"Cuiabá, Brasil",Só acreditei quando fui jogar o lixo e tava mó chuva pega bobo https://t.co/EWoDkvxm9g,1
53,2020-08-21 02:35:55,"Cuiabá, Brasil",Enfim chuva nesse Cuiabá,1
54,2020-08-21 02:30:26,"Cuiabá, Brasil",@Giomariacampos SIMMMMMM TO MUITO FELIZ MAS DEVE SER CHUVA ÁCIDA 😔😔😔😔 pelo menos ainda é chuva,1
55,2020-08-21 02:29:57,"Cuiabá, Brasil",@gmirandinha0 desde quando pra chove tem q ter algm com vc a pfv ne,0
56,2020-08-21 02:28:10,"Cuiabá, Brasil",@gmirandinha0 simmmmm fui na sacada e tava um cheirinho de chuva com fumaça 😍😍😍😍🥰🥰🥰🥰🥰🥰,1
57,2020-08-21 02:24:47,Cuiabá / MT ,"Impressionada. São Pedro resolveu mostrar todos os seus poderes num só dia, não sei se posso chamar de chuva mas tá acontecendo",0
58,2020-08-21 02:18:54,"Cuiabá, Brasil",Caraí poha tá chuvendo,1
59,2020-08-21 02:14:27,"Cuiabá, Brasil","@lohlohmann SIM! SIM! É real! Ela voltou. A chuva do caju chegou com 2 dias de atraso, mas veio 🙏",1
60,2020-08-21 02:08:29,"Cuiabá, Brasil",QUE CHEIRINHO DE CHUVA MARAVILHOSO,1
61,2020-08-21 02:04:57,"Cuiabá, Brasil","Tô ouvindo a chuva cair 😭😭😭😭😭
Pai, eu sei que tu me sondas",1
62,2020-08-21 02:01:21,"Cuiabá, Brasil",ISSO É CHUVA?????,1
63,2020-08-21 01:57:45,"Cuiabá, Mato Grosso","Pela primeira vez em 2 meses estou conseguindo respirar decentemente em Cuiabá 
Gotinhas de chuva, ventinho e frio, será que estou sonhando? https://t.co/75z2PcS7tZ",1
64,2020-08-21 01:55:25,"Cuiabá, Brasil",@isrosa_ ta só serenando lá fora nada de chuva ainda!,0
65,2020-08-21 01:44:55,cuiabá-MT,"Choveu na minha casa.
Ctz foi mais radioativa que a primeira chuva após o desastre de Chernobyl",0
66,2020-08-21 01:41:07,Cuiabá - MT,#chuva #garoa #magic #magica #alegria #risos #humor #happiness #sempresorrindo #quarentena #menduim #brazil https://t.co/tDGyYmspzw,0
67,2020-08-21 01:38:26,"Cuiabá, Brasil","Estaria eu alucinando ?
Estou sentindo cheiro de chuva? Deveria estar dormindo, mas a cabeça não deixa",0
68,2020-08-21 00:16:32,Rio Cuiabá,"@lasanhento @tfernanda_ Nem a gente sabe, a única coisa q sabemos é q são 6 meses de seca e 6 meses de chuva só, mas esse ano tá tipo????",0
69,2020-08-21 00:06:37,"Cuiabá, Brasil","Chuva de estrela cadente.

#AnimalCrossing #ACNH #NintendoSwitch https://t.co/fYaL4U5u6p",0
70,2020-08-20 23:13:04,"Cuiabá, Brasil",@juliaugolini9 @brenoagnolon kkkkkkkkkkkkkkk chuva de ORVADAS nessa casa,0
71,2020-08-20 22:55:16,"Cuiabá, Brasil",chuva seja bem vinda pfv,1
72,2020-08-20 22:40:57,"Cuiabá, Brasil",@n3rder0s aff eu amo chuva deve ser MT foda mas tbm deve ser um saco as vezes. Tu já assistiu algum dos dois?,0
73,2020-08-20 22:04:23,cuiaba,to esperando a chuva mor🤡🤡🤡 https://t.co/IviUBpUgBY,0
74,2020-08-20 21:50:15,"Campo Verde, Brasil","RT @umataldeKatia: Cuiabá ontem nesse horário: 42°C

Cuiabá hoje: 28°C 

Mais bipolar que essa cidade? Mas não reclamei. Só faltou a chuva…",0
75,2020-08-20 21:02:21,"Cuiabá, Brasil",Ta um climinha que parece que a qqr hr vai chover mas eu nem me iludo pq eu ja to ciente a chuva do cadju é só finalzin de setembro,0
76,2020-08-20 20:10:06,"Cuiabá, Brasil","@DydyhRolao No carro, na chuva, na fazenda ... onde ele mandar em chupo . Sem preguiça 🤤🤤🤤🤤❤️",0
77,2020-08-20 20:04:53,Cuiabá,"Cara, na minha cabeça esse frio prometeu uma chuvinha pra chegar
Desonesto frio sem chuva, tava até feliz achando que ia chover",0
78,2020-08-20 19:14:26,"Cuiabá, Brasil",Roubaram a chuva da minha cidade,0
79,2020-08-20 19:01:06,"Cuiabá, Brasil","23°C enfumaçado 

Quem aguenta chegar frio, sem chuva e cheio de fumaça????",0
80,2020-08-20 18:54:56,"Cuiabá, Brasil",@gjapex Pero meu guarda-chuva e voo embora,0
81,2020-08-20 18:16:30,Cuiabá-MT,@Leandro160381 Chuva chega em outubro só. Pega de outubro até abril. As vezes estica até maio. De junho em diante e seca e fogo. Esse ano as queimadas começaram antes e com muita força.,0
82,2020-08-20 18:02:58,"Cuiabá, Brasil","Na vdd, minha mãe vai ser a primeira a gritar ""DESLIGA ISSO AÍ MENINO, TÁ FORMANDO TEMPO PRA CHUVA""",0
83,2020-08-20 18:01:13,"Cuiabá, Brasil","Eu tava aqui pensando... e as aulas online nos dias de chuva?????

Eu quero ver quem vai me fazer ficar no computador enquanto cai 5 mil raios na cidade",0
84,2020-08-20 16:51:06,"Cuiabá, Brasil","@portaIbts_twt Não,  infelizmente, sem chuva a mais de 90 dias @BTS_twt",0
85,2020-08-20 16:25:55,"Cuiabá, Brasil","@ryanfraga2 Amg kkk mas no caso faz mto tempo q n tem mormaço por aq, ta seco e n chove tem mais de 3 meses....",0
86,2020-08-20 16:20:53,"Cuiabá, Brasil","Cuiabá ontem nesse horário: 42°C

Cuiabá hoje: 28°C 

Mais bipolar que essa cidade? Mas não reclamei. Só faltou a chuva do caju.",0
87,2020-08-20 15:35:31,Cuiaba-MT,"fico mt de cara que ninguém está falando sobre pantanal. só queria q viesse mt chuva e acabasse c fogo do pantanal. mt animal está morrendo, nossa flora e fauna eh diversa n tem como ver só tudo queimando",0
88,2020-08-20 15:34:44,"Cuiabá, Brasil","acabei de pensar, será que o Jardim das Palavras tá conectado com Weathering with you?! Pq chove durante o filme todo quase",0
89,2020-08-20 15:17:30,"Cuiabá, Brasil",Cu queria chuva e cuiaba me manda esse dia feio com vento,0
90,2020-08-20 15:12:27,"Cuiabá, Brasil",Graças a Deus uma chuva nesse lugar 🙌🏻🙌🏻,1
91,2020-08-20 14:31:48,"Cuiabá, Brasil","qual o motivo mais ridículo que te deixou uma cicatriz?

 fui andar de descalça na chuva no carnaval e levei 7 pontos no pé https://t.co/fmFLL8ENK1",0
92,2020-08-20 14:14:05,"Cuiabá, Brasil","pois bem, hj está fresco aq em paris, fato q n me interessa no momento pois eu almejo chuva",0
93,2020-08-20 13:38:21,Cuiabá ,@MalthusThiago Chuva? Onde? Quando? Como?,0
94,2020-08-20 13:21:23,"Cuiabá, Brasil","a caixa molhada de chuva
era tudo que eu mais queria 

livros e chuva .... https://t.co/H5cWqG9EHw",0
95,2020-08-20 13:08:47,"Cuiabá, Brasil",Deus se vc n tiver desistido da gente ainda por favor manda uma chuva torrencial hoje de 8h da noite até manhã cedo 🙏🏽🙏🏽,0
96,2020-08-20 13:07:24,Cuiabá-MT,@Angy_Chuva Muito bom continue assim,0
97,2020-08-20 13:06:33,Cuiabá,@carolaraujj triste... e a chuva nem vingou 😔,0
98,2020-08-20 13:01:34,Mato,"RT @madeforbrazil: em cuiabá, essa semana consiste em olhar pro céu e não saber se tá vendo fumaça, chuva ou frio",0
99,2020-08-20 13:00:11,"Cuiabá, Brasil","em cuiabá, essa semana consiste em olhar pro céu e não saber se tá vendo fumaça, chuva ou frio",0
