,horario,local,texto,relevancia,Sigla
30,2020-08-21 20:33:33,04/03💍👨‍👩‍👦,RT @155Najulia: Que Deus proteja os motoboys nessa chuva ❤👐,1,JP
31,2020-08-21 20:21:56,na casa do krlhoooooo😂😅😅,RT @155Najulia: Que Deus proteja os motoboys nessa chuva ❤👐,1,JP
32,2020-08-21 19:59:48,"Curicica, Rio de Janeiro",RT @155Najulia: Que Deus proteja os motoboys nessa chuva ❤👐,1,JP
33,2020-08-21 19:44:15,Jpa,Que Deus proteja os motoboys nessa chuva ❤👐 https://t.co/IufWmWSH4c,1,JP
34,2020-08-21 19:43:58,João Pessoa - PB,"@WeakpointRbr Aqui é, a temperatura só cai um pouco quando chove, e olhe lá viu kkkkkk",1,JP
35,2020-08-21 19:40:36,"João Pessoa, Paraíba",@brallanovd @onlyotew @noxmars Em chuva de grelo tu se abriga com medo 😔,0,JP
36,2020-08-21 19:37:26,Jpa,"A mulher não tem um minuto de paz nem nessa chuva, não aguento esses machos",1,JP
37,2020-08-21 18:55:39,"João Pessoa, Brasil","@YWalter Desligo quando chove forte e embaça um pouco o vidro, pra pensar melhor.",0,JP
38,2020-08-21 18:18:44,"João Pessoa, Brasil",@Edsonde01058407 @BoyJPBancarios Não era chuva de leite?,0,JP
39,2020-08-21 18:00:50,"João Pessoa, Brasil",@guilhermesousa eu nem consegui assistir e toda vez q  chove eu lembro da cena q vi no trailer.,0,JP
40,2020-08-21 16:26:15,João Pessoa - PB,frente fria em jp é essa chuva ai?,1,JP
41,2020-08-21 16:18:01,jpa ,Na HR de ir embora essa chuva caiu firme que raiva 🤬,1,JP
42,2020-08-21 13:36:00,"Campina Grande, Paraíba","A chuva impediu o pedal de hj! Vamos de foto velha mesmo! 😁
#gopro #goprobrasil #gopromax #fitness #allblackcc #bicycle #roadcycling #love #iamspecialized #specialized #instabike #pedaispelobrasil #pedaisdejampa… https://t.co/Cn2CFTYoGF",1,JP
43,2020-08-21 13:07:39,João Pessoa - PB,Neve no sul do país e por aqui nem com chuva a temperatura diminui.,1,JP
44,2020-08-21 12:59:30,"João Pessoa, Brasil","@gabifernas Que nada, mo tempo de chuva... Quero vê domingo",0,JP
45,2020-08-21 12:37:33,"João Pessoa, PB, Brasil ","@ViviCanassa Boa tarde, Vivi. Em Jampa, tá frio, mas sem chuva 

#ForaBolsonaro",0,JP
46,2020-08-21 12:09:45,,"RT @brunnacom2nns: que chuva
que preguiça",1,JP
47,2020-08-21 11:48:43,Paraíba,Academia do Guarda-Chuva põe Marinho de capitão e vence Rodada #4 da Liga do ge Paraíba | #CartolaFC | #geparaiba https://t.co/NMWB9fRBnW,0,JP
48,2020-08-21 11:05:06,"João Pessoa, Brasil",centro de João Pessoa às 11:00 + chuva + mormaço = agonia,1,JP
49,2020-08-21 10:57:42,"João Pessoa, Brasil",tempinho de chuva bom pra ficar de cama olhando pro teto pq aqui bate um vento e a internet cai,1,JP
50,2020-08-21 10:53:25,"João Pessoa, Brasil",Virei a própria dona de casa pois feliz com a chuva e ao mesmo tempo chateada porque não posso colocar roupa para lavar,1,JP
51,2020-08-21 10:33:59,"Paraíba, Brasil","De novo o piercing foi adiado devido a chuva, mas segunda vou acompanhada pelo menos, pq só essa semana fui duas vezes lá e deu errado por motivos diferentes",1,JP
52,2020-08-21 10:26:45,"João Pessoa, Brasil","joao pessoa e sua bipolaridade climática, não se decide se chove ou se faz sol af",1,JP
53,2020-08-21 10:25:30,the greatest city in the world,"RT @brunnacom2nns: que chuva
que preguiça",1,JP
54,2020-08-21 10:19:39,parahyba,@noxmars tanto potencial em ser outras coisas p ser conhecida pela chuva de grelo,0,JP
55,2020-08-21 10:17:12,"João Pessoa, Brasil",Ler em dias de chuva aumentam o prazer de ler 1000x,1,JP
56,2020-08-21 10:14:24,"João Pessoa, Brasil",Sexta feira de chuva = tudo pra mim,1,JP
57,2020-08-21 10:02:47,"João Pessoa, Brasil","que chuva
que preguiça",1,JP
58,2020-08-21 10:01:23,"João Pessoa, Paraíba","@marorodrigues por isso no fim do dia deu aquela chuva, anunciação de um milagre",0,JP
59,2020-08-21 09:58:48,"João Pessoa, Brasil","Assistir aula de sus, deitada, c chuva, de manhã é pedir p dormir",1,JP
60,2020-08-21 09:48:05,"João Pessoa, PB","Chuva: A
Eu: Monocromia - Lorena Chaves",1,JP
61,2020-08-21 09:45:41,"João Pessoa, Brasil",a chuva derrubou a internet da professora #triste,1,JP
62,2020-08-21 09:41:42,"João Pessoa, Brasil",tudo que eu queria era essa chuva,1,JP
63,2020-08-21 09:36:52,"João Pessoa, Brasil",sexta já é difícil de prestar atenção com chuva...,1,JP
64,2020-08-21 09:31:56,"João Pessoa, Brasil","@fuckngrockwell sul: neve
nordeste: chuva torrencial",1,JP
65,2020-08-21 09:24:13,"Paraíba, Brasil","João Pessoa resolveu se amostrar hoje! 
Chuva, vento e frio. 
Pra que isso minha gente?",1,JP
66,2020-08-21 09:20:21,"João Pessoa, Brasil",Chuva em João Pessoa.,1,JP
67,2020-08-21 09:14:17,"João Pessoa, Brasil",Bom dia com muita chuva.,1,JP
68,2020-08-21 09:08:46,"João Pessoa, Brasil","@TVolfi Esquece toto no máximo vai ser uma geada kkkkkkkkkkk eu cai nesse conto, eu fiquei um ano aí o mais próximo de neve que eu tive foi chuva de granizo estando na rua meu tio ""Douglas vai nevar"" parece a Ferrari me iludindo",0,JP
69,2020-08-21 09:06:40,"João Pessoa, Brasil","Toda vez que eu falo que vou pra praia com Priscila, chove 😭",1,JP
70,2020-08-21 08:44:09,João Pessoa - PB - Brasil,Meu nariz é o melhor metereologista do mundo! Amanheceu escorrendo? Vem chuva por aí... certeiro!,1,JP
71,2020-08-21 08:36:38,João Pessoa - PB,"Frente fria no Brasil.

João Pessoa: did you mean ""chuva""?",1,JP
72,2020-08-21 08:33:37,"João Pessoa, Brasil",Para completar levo um banho de chuva,1,JP
73,2020-08-21 08:31:03,"João Pessoa, Brasil","@edoardamarea kkkkkkkkkkkk saiu só a chuva, mas tenho fé",1,JP
74,2020-08-21 08:30:11,João Pessoa - PB,"tava nem chovendo, quando da a hora de sair vem o toró de chuva do nada, q ódio",1,JP
75,2020-08-21 08:30:04,"João Pessoa, Brasil",meu deus que chuva boa,1,JP
76,2020-08-21 08:23:03,"João Pessoa, Brasil","João Pessoa não tem clima definido 
Ontem sol 
Hoje chuva",1,JP
77,2020-08-21 08:21:37,João Pessoa,Bom dia com muita chuva 🌧,1,JP
78,2020-08-21 08:21:00,"João Pessoa, PB","Minhas plantinhas agradecem essa chuva. 🌿

Por sinal achei que a temporada de chuvas já tinha acabado.",1,JP
79,2020-08-21 08:13:45,"João Pessoa, Brasil","não não po, faz um calor do caralho de noite e agora chove o dia todo mesmo, parabéns parabéns",1,JP
80,2020-08-21 08:13:25,João Pessoa - Paraíba - Brasil,"Acordei, um sol danado, agora tá escuro como se fosse cair o mundo em chuva",1,JP
81,2020-08-21 07:59:41,Joao pessoa,Pedalada com chuva hj foi so o ouro!,1,JP
82,2020-08-21 07:45:42,João Pessoa-PB,"Acordei cedo e, graças a Deus, não me nevou. Só chove mesmo e faz frio! https://t.co/inLTuwPdaz",1,JP
83,2020-08-21 07:03:19,João Pessoa - PB,Bom dia de chuva☔,1,JP
84,2020-08-21 06:50:45,"João Pessoa, Paraíba",acordei por causa do barulho da chuva de tão forte que tava!!!!!,1,JP
85,2020-08-21 02:53:14,"João Pessoa, Brasil","Aqui estou eu, conversando com a chuva",1,JP
86,2020-08-21 02:44:37,Parahyba,Chove chuva https://t.co/4qVtdFH4xM,1,JP
87,2020-08-21 00:15:36,"Brasil, paraiba ","@Brunomurl @2005Ricardol Sim, é fato que ocorrem geadas e até nevadas no Sul anualmente, mas primeiro: essa neve de hoje, as frentes frias, as chuvas gélidas e as geadas que estão acontecendo não são devido a estação do ano, mas sim a uma massa de ar frio (dita como HISTÓRICA) originada na Antártida.",0,JP
88,2020-08-21 00:05:26,"João Pessoa, Brasil","Se tem um humorista da minha terra que dou valor é @renandaresenha show debaixo de chuva e valeu a pena, garantiu meu riso do dia",1,JP
89,2020-08-21 00:02:39,"João Pessoa, PB, Brasil.",Expectativa: onda de frio no Brasil. Realidade em João Pessoa: 24 graus e chuva chata que molha as roupas que estão no varal.,1,JP
90,2020-08-21 00:01:19,"Paraíba, Brasil","@_immariee amg
até chuva ta difícil de encontrar por aqui, quem dirá neve",0,JP
91,2020-08-20 23:57:35,"João Pessoa, Brasil",tenho medo de chuva,0,JP
92,2020-08-20 23:48:14,"João Pessoa, Brasil",@dudamrb aproveitando o barulhinho da chuva,1,JP
93,2020-08-20 23:29:12,"Paraíba, Brasil",@sthe_ol Amiga eu juro que não escutei a chuva,1,JP
94,2020-08-20 23:18:21,João Pessoa - PB,"Chuva: A
Eu: 
└Pasta de Músicas
└Pasta de arquivo Só As Mais Tristes
└Pasta de arquivo Tristeza e Madrugada
└ Pasta de arquivo The National Discography
https://t.co/1FAWtWyvYv",1,JP
95,2020-08-20 22:52:09,"João Pessoa, Brasil",Eu amo dormir com esse barulho de chuva,1,JP
96,2020-08-20 22:48:45,João Pessoa - PB,E essa chuva... do nada? 🙄🙄🙄,1,JP
97,2020-08-20 22:36:04,"João Pessoa, Brasil","Se jogarem água em cima de casa a internet diz, eita é chuva, vou parar de funcionar",0,JP
98,2020-08-20 22:32:12,"João Pessoa, Brasil","chuva do carai, tomei no rabo",1,JP
99,2020-08-20 22:22:19,"João Pessoa, Brasil",@amana_chuva mas às vezes isso é culpa do torrent kkk,1,JP
0,2020-08-22 19:53:38,Alagoas ,@Enaldinho1 @uselolja @QGDoEnaldinho Chuva #MPN #Enaldinho,0,AL
1,2020-08-22 18:30:26,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,"""– Hayden. O nome dele será Hayden.""
(Chuva - Livro II)",0,AL
2,2020-08-22 18:16:59,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,Ainda tô no prólogo de Chuva e já senti vontade de chorar duas vezes... A Alycia de 15 anos me olharia exasperada.,0,AL
3,2020-08-22 18:16:13,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,"""Ela soluçava ruidosamente. Era um choro partido e desesperado, de tal modo que o frágil coração de Selina quebrou-se. Porque ela já chorara daquela forma uma vez – e reconhecia aquela dor quando a via.""
(Chuva - Livro II)",0,AL
4,2020-08-22 17:49:46,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,"""A chuva estava quase chegando.""
(Chuva - Livro II)",0,AL
5,2020-08-22 17:29:20,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,É oficial: comecei a revisão de Chuva para colocar na Amazon. Talvez hajam até novas cenas... Quem sabe.,0,AL
6,2020-08-22 16:52:59,Maceió,"@rebecadrumonda Que coisa fofa! Pulando e ""dançando na chuva""😀😍",0,AL
7,2020-08-22 16:27:03,"Maceió, Brasil",Água de chuva não sobe ladeira ! nuncaa,0,AL
8,2020-08-22 12:52:53,"Maceió, Brasil","ficam com esse papo de ""ai a vida imita a arte ai a arte imita a vida pipipopo"", por isso q aparece uns merdas desse falando q nao gosta de frio/neve/chuva pq o filme Parasita",0,AL
9,2020-08-22 12:38:50,Pilar city,@richardlc8 nem chuva te para né piranha,0,AL
10,2020-08-22 11:09:00,"Maceió, Alagoas","@playgodsf é, total... e por causa de uma larry sem noção vem uma chuva de hate ao shipp",0,AL
11,2020-08-22 10:49:59,"Maceió, Brasil","Ontem eu tava de folga querendo ir q praia (chuva o dia todo) 
Hoje vou trabalhar UM SOL DE RACHAR",0,AL
12,2020-08-22 10:26:50,"Maceió, Brasil","O medo meu pai de sair do quarto e ver chuva, obg Deus pelo solllllll",0,AL
13,2020-08-22 09:52:59,Pilar ,Preciso sair pra concerta a moto agitar a vida e essa chuva mandada não parar 😩,1,AL
14,2020-08-22 09:21:42,"Maceió, Brasil",@ttdopaz paz me notando?? hj chove,0,AL
15,2020-08-22 06:30:10,"Maceió, Brasil","@itxrenataf Né isso Rê.
Aqui hoje os carros amanheceu todos molhados mais não de chuva e sim da neblina.",0,AL
16,2020-08-22 04:41:55,"Maceió, Brasil","CHOVE
EM
MIM",0,AL
17,2020-08-22 02:25:59,Maceió - Alagoas - Brasil,"@faveleirajj @PrincesinhaGti1 @BiodiversidadeB Não deixa de chover por falta de vegetação em lugar nenhum do mundo, tem vegetação pq chove, não é o contrário.",0,AL
18,2020-08-21 23:17:21,Brasil Maceió,@adolfo_moraiss Odeio frio e chuva pq lembro das pessoas e animais que não tem um lar. Fico angustiada,0,AL
19,2020-08-21 22:43:41,"Alagoas, Brasil","Se tem uma coisa que me deixa pra baixo, é ver pessoas sem um teto sem ter oq comer, sem pais, viver na miséria embaixo de sol e chuva isso me deixa mttttt triste de vdd https://t.co/olOePWXvkK",0,AL
20,2020-08-21 22:36:44,mcz city,"se eu tivesse fãs, seria um grande período de tristeza por escassez de arte nova, depois do nada: uma chuva de coisa num dia só",0,AL
21,2020-08-21 22:30:08,Maceió/AL,"@adolfo_moraiss Também!! Não consigo mais gostar de dormir com barulho de chuva, fico angustiada",0,AL
22,2020-08-21 22:17:42,"Maceió, Brasil","Podem dizer que virei o chato do rolê, mas depois de ""Parasita"" e depois de matérias com gente morrendo de frio no Brasil, nunca mais eu digo frases como:

""Amo dormir com som de chuva"", ""Amo o inverno"", ""o frio é chique"".",0,AL
23,2020-08-21 20:56:09,"Alagoas, Brasil","o que de tão ruim pode acontecer???? você tomar um não mas daí você segue sua vida ué :) 
melhor que ficar de brincadeirinha, chove e não molha, indiretas

essas coisas abrem precedentes pra muitas interpretações, eu tenho um total de 0 paciências",0,AL
24,2020-08-21 18:54:20,"Alagoas, Brasil","@Joaoguiavila Chuva 
#MPN #JoaoGuilherme #JoaoGuilhermeStyle #JoaoEJade #Enaldinho #LorenaQueiroz #BrunaMarquezineInspiracao #PablloVittar #Bambole",0,AL
25,2020-08-21 18:39:52,"Maceió, Brasil","@IvannescaA Aqui tá chovendo mas faz calor, temos o clima louco nessa época,  chove forte e abre sol, daí a noite a brisa do mar vem fria, porém o calor fica",0,AL
26,2020-08-21 17:42:38,"Maceió, Brasil","@RonaldoApOlive1 Eu trocaria, aqui até quando chove é quente 😔",0,AL
27,2020-08-21 17:32:16,Maceió - AL,"É muito bom viver em Maceió e ter mais dias de sol do que de chuva/frio pois isso me torna produtiva, deus me livre viver em um lugar que faz -3 o ano inteiro, eu me tornarei um vegetal",0,AL
28,2020-08-21 17:32:06,Forno que é Maceió,RT @vagabadearaque: oxe pois pode ficar com a neve amado pq eu msm não aguento mais nem a chuva,0,AL
29,2020-08-21 17:31:14,"Maceió, Brazil",oxe pois pode ficar com a neve amado pq eu msm não aguento mais nem a chuva https://t.co/BUKMt0OYJZ,0,AL
30,2020-08-21 16:59:13,"Alagoas, Brasil","Chuva 
#MPN #JoaoGuilherme #JoaoGuilhermeStyle #JoaoEJade #Enaldinho #LorenaQueiroz #BrunaMarquezineInspiracao #PablloVittar #Bambole",0,AL
31,2020-08-21 13:53:03,"Maceió, Brasil",@tabataamaralsp MENTIROSA - se eu disser uma pessoa para dialogar vc corre como gato corre da chuva,0,AL
32,2020-08-21 13:49:16,"Maceió, Brasil",Nada a ver essa chuva aí,1,AL
33,2020-08-21 12:54:03,"Maceió, Brasil",deu na previsão que hoje a chuva é de whisky,0,AL
34,2020-08-21 11:37:42,,"RT @fe_fernandinhaa: Só era um limão do Portuga, depois partir pro baile,mas essa chuva é fodaaaaa",1,AL
35,2020-08-21 11:35:59,Pilar,"Só era um limão do Portuga, depois partir pro baile,mas essa chuva é fodaaaaa",1,AL
36,2020-08-21 11:31:27,Pilar,"Chuva dessa,bglh é ficar deitadinha",1,AL
37,2020-08-21 11:17:47,"Maceió, Brasil","Só observo no insta, twitter etc povo postando com roupa de frio, 2°C, etc no Brasil. Aqui na minha cidade 26°C nublado e calor kkkkk, chove as vezes, mas fica abafado/calor kkk Quero experimentar o frio de 15°C, 5°C etc 😜",0,AL
38,2020-08-21 11:00:31,"Maceió, Brasil",Maceió calor do inferno mesmo com chuva,1,AL
39,2020-08-21 10:55:42,"Alagoas, Brasil",Quando chove 2min aqui em Maceió https://t.co/eA9bXx8bfG,0,AL
40,2020-08-21 10:49:06,Vênus,"RT @isabellferreir: não choveu a semana toda, aí chega na sexta, só chuva😑😑",0,AL
41,2020-08-21 10:47:44,"Maceió, Brasil",o dia hj será de muita chuva,1,AL
42,2020-08-21 10:32:28,"Maceió, Brasil",será que tem UM dia que não chove em maceió?,1,AL
43,2020-08-21 10:30:55,"Maceió, Brasil","não choveu a semana toda, aí chega na sexta, só chuva😑😑",1,AL
44,2020-08-21 09:53:28,"Maceió, Alagoas",@thominhassssss o fato que eles tão todo molhado na chuva e ela SE SENTA NO CHÃO,0,AL
45,2020-08-21 09:23:39,Brasil - Cidade do Samba,"💡Não deixem de pensar sobre!👇🏿 💭 
Dois agricultores oraram a DEUS por meses e meses pedindo que chovesse, pois estavam passando por uma seca terrível, mas apenas um deles preparou o campo pra receber a chuva.
Qual… https://t.co/xdsTdD6kAU",0,AL
46,2020-08-21 09:17:51,"Maceió, Brasil","essa semana planejei de ir ao centro hoje
chegou hoje: chuva! q delicia 😍",1,AL
47,2020-08-21 09:14:51,"Alagoas, Brasil",amo que quando marco de sair chove,1,AL
48,2020-08-21 08:59:14,Maceió,"Chuva
Máscara
Vento
Calor
Bicicleta 
Óculos 
Embaçou

Deus me ajude a não atropelar ninguém",1,AL
49,2020-08-21 08:56:03,Maceió,Em pleno 2020 e ainda não inventaram um para-brisa pra óculos. Como é que o cegueta sai na chuva?!,0,AL
50,2020-08-21 08:46:06,Maceió,Sextou com S de ~se molhei~ na chuva ao vir de moto para o trabalho,1,AL
51,2020-08-21 07:23:59,"Maceió, Brasil",acordei no meio da noite com chuva na cara e meu cérebro achou ok me deixar acordada sem voltar a dormir,0,AL
52,2020-08-21 01:38:36,"Alagoas, Brasil","Se a chuva é purificação, então deixa molhar",0,AL
53,2020-08-21 01:26:51,"Maceió, Brasil","RT @dayvdiario: A internet subiu pela parede, veio a chuva forte e a derrubou",1,AL
54,2020-08-21 01:20:49,maceió,vontade de juntar todas as pessoas que usam máscara no queixo ou com o nariz pra fora e sair rodando de punho fechado que nem uma beyblade dando chuva de soco nesses filha da puta,0,AL
55,2020-08-21 01:15:39,,"RT @dayvdiario: A internet subiu pela parede, veio a chuva forte e a derrubou",1,AL
56,2020-08-21 01:14:08,"Maceió, Brasil","A internet subiu pela parede, veio a chuva forte e a derrubou",1,AL
57,2020-08-21 00:09:33,"Maceió, Brasil","Semana passada comecei a assistir the rain
Hoje entrei correndo no carro com medo de pegar corona pela chuva https://t.co/f8S3QtfBh6",0,AL
58,2020-08-20 23:30:27,Maceió ,E ainda por cima tomei banho de chuva...,0,AL
59,2020-08-20 23:09:41,"Maceió, Brasil","Esse frio, essa chuva. 🌝",1,AL
60,2020-08-20 22:46:26,"Maceió, Brasil","Não fui treinar hoje, mas a corridinha com chuva na orla, teve",0,AL
61,2020-08-20 22:11:08,"Alagoas, Brasil","eu tenho uma amiga que sempre me levou pra uns roles muito aleatórios. tava lembrando aqui que a gente tava indo pra uma festa, numa chuva da peste, a rua alagou, o Uber não passava e a gente muito garota resolveu atravessar a rua mesmo assim. resultado: quase caí num bueiro ✌🏼",0,AL
62,2020-08-20 21:09:16,"Maceió, Brasil",deitar na rede e ouvir los hermanos em tempo de chuva é simplesmente tudo,1,AL
63,2020-08-20 20:55:22,"Alagoas, Brasil","Eu tenho sonho em beijar debaixo de um clima de chuva e trovoadas ou então na virada de um ano pra outro

Nunca me aconteceu isso, só quando em durmo",0,AL
64,2020-08-20 20:48:10,"Maceió, Alagoas","O treino flopou mas teve corridinha em baixo de chuva hein, to sentindo q o troféu de musa veeeem 🌚",0,AL
65,2020-08-20 19:45:54,"Maceió, Brasil","Como se já não bastasse o trânsito, agora vem a chuva 😭😭😭",1,AL
66,2020-08-20 19:07:11,Pilar ,Chove e a Globo para,1,AL
67,2020-08-20 18:43:07,Salvador/Maceió,sofrendo por nada nem por ninguém ao som de éramos chuva entendam o conceito,0,AL
68,2020-08-20 13:41:11,"Maceió, Brasil","A gente só queria uma chuva pra refrescar, não pra derrubar as casas",1,AL
69,2020-08-20 11:56:57,Pilar,"Tava de boas no quentinho,minha sogra pediu pra mim ir buscar ela com o guarda chuva,quando cheguei lá,a porra da chuva para,que raiva kkkkk",0,AL
70,2020-08-20 11:04:28,Maceió,Tbt de ir a praia e levar um banho de chuva kkkk ✌ https://t.co/jSsCWqkQ2T,0,AL
71,2020-08-20 00:03:33,"Maceió, Brasil",Viver não é esperar a tempestade passar. É aprender a dançar na chuva.,0,AL
72,2020-08-19 23:11:10,"Maceió, Brasil","Teus sinais
Me confundem da cabeça aos pés
Mas por dentro eu te devoro
Teu olhar
Não me diz exato quem tu és
Mesmo assim eu te devoro.

Te devoraria a qualquer preço
Porque te ignoro ou te conheço
Quando chove ou quando faz frio.",0,AL
73,2020-08-19 22:39:55,"Maceió, Brasil",Kawhi vai tirar o cavalinho do Dallas da chuva,0,AL
74,2020-08-19 20:12:33,"Alagoas, Brasil",fico pairando entre o mood de ouvir o barulho de chuva e o barulho de marteladas contra um portão de ferro,0,AL
75,2020-08-19 19:33:59,"Maceió, Brasil","""Chuva de granizo cobre de gelo plantações no sul de Minas Gerais""  https://t.co/YwnufIilg4",0,AL
76,2020-08-19 17:07:01,"Maceió, Brazil","menina do céu, coloquei barulho de chuva e dormi feito um babyyyy",0,AL
77,2020-08-19 16:43:57,"Maceió, Brasil","@balial963 @ghulehmonster é o costume né kkk Eita que sonho, mas aí a temperatura é mais baixa essa época né? parece muito com aqui, só fica mais ameno quando chove kkk",0,AL
78,2020-08-19 15:40:20,Maceió AL / Brasil,"@MadeirosRomeu Deus do universo, Chuva de POG pra esse menino!",0,AL
79,2020-08-19 11:35:43,,COBRIRAM UM CORPO MORTO COM GUARDA-CHUVA E VOLTARAM A FUNCIONAR,0,AL
80,2020-08-19 10:15:48,"Maceió, Brasil","Há dias que o vento não sopra, que o sol não aquece como de costume, que a chuva se forma nas nuvens mas não cai, enfim, nada se completa, e, eu to assim, de mesma forma, incompleto...",0,AL
81,2020-08-19 08:55:51,"Alagoas, Brasil","@diogo_p_d @DItcak @Metro_Litoral nem seca ta tendo, só chuva pa carai",0,AL
82,2020-08-19 06:58:01,"Maceió, Brasil",@marqzin Eu coloco sim de chuva no yt. Ajuda,0,AL
83,2020-08-19 00:03:33,"Maceió, Brasil","@TeaWithBerna Pra gente que é do nordeste já é diferente, pq o calor é demais e os sertanejos nem se mede a alegria quando chove",0,AL
